product_category_name_english,product_id
bed_bath_table,11988
health_beauty,10032
sports_leisure,9004
furniture_decor,8832
computers_accessories,8150
housewares,7380
watches_gifts,6213
telephony,4726
garden_tools,4590
auto,4400
toys,4281
cool_stuff,3999
perfumery,3589
baby,3204
electronics,2846
stationery,2625
fashion_bags_accessories,2170
pet_shop,2030
office_furniture,1788
consoles_games,1192
luggage_accessories,1163
construction_tools_construction,955
home_appliances,826
musical_instruments,719
small_appliances,705
home_construction,635
books_general_interest,565
furniture_living_room,532
food,526
home_confort,478
drinks,390
audio,381
market_place,332
construction_tools_lights,314
air_conditioning,302
kitchen_dining_laundry_garden_furniture,299
food_drink,291
fashion_shoes,278
fixed_telephony,272
industry_commerce_and_business,272
books_technical,272
home_appliances_2,270
agro_industry_and_commerce,252
costruction_tools_garden,247
computers,220
art,219
signaling_and_security,201
construction_tools_safety,199
christmas_supplies,155
fashion_male_clothing,145
fashion_underwear_beach,144
furniture_bedroom,126
costruction_tools_tools,105
tablets_printing_image,87
small_appliances_home_oven_and_coffee,78
cine_photo,74
dvds_blu_ray,71
books_imported,62
fashio_female_clothing,50
party_supplies,46
furniture_mattress_and_upholstery,41
music,40
diapers_and_hygiene,39
flowers,33
fashion_sport,31
home_comfort_2,31
arts_and_craftmanship,24
la_cuisine,16
cds_dvds_musicals,14
fashion_childrens_clothes,8
security_and_services,2
